,total_death,Jews_and_others_total_death,Arabs_total_death,total_born,Jews_and_others_total_born,Arabs_total_born
2002,38325,34639,3686,139535.0,98604.0,40931.0
2003,38361,34548,3813,144936.0,103599.0,41337.0
2004,37787,34177,3610,145207.0,104357.0,40850.0
2005,38926,35064,3862,143913.0,105112.0,38801.0
2006,38700,34720,3980,148170.0,109188.0,38982.0
2007,39977,35926,4051,151679.0,112543.0,39136.0
2008,39264,35262,4002,156923.0,117473.0,39450.0
2009,38643,34541,4102,161042.0,121243.0,39799.0
2010,39451,35269,4182,166255.0,125505.0,40750.0
2011,40668,34994,3444,166296.0,126550.0,39746.0
2012,41894,37370,4524,170940.0,130507.0,40433.0
2013,41489,37006,4483,171444.0,132254.0,39190.0
2014,42178,37334,4844,176427.0,136000.0,40427.0
2015,44266,39171,5095,178723.0,137707.0,41016.0
2016,43966,38772,5194,181405.0,139400.0,42005.0
2017,44596,39418,5178,183648.0,139866.0,43782.0
2018,44537,39308,5229,184370.0,141102.0,43268.0
2019,45999,40473,5526,182016.0,138399.0,43617.0
