year,total_death,Jews_and_others_total_death,Arabs_total_death
2011,146,126,10
2011,139,123,10
2011,126,101,11
2011,154,131,17
2011,138,123,9
2011,135,108,17
2011,130,115,12
2011,143,128,14
2011,126,112,8
2011,127,105,15
2011,124,103,12
2011,115,101,9
2011,152,130,12
2011,145,123,12
2011,148,133,12
2011,105,89,6
2011,118,108,9
2011,117,97,12
2011,126,109,8
2011,119,106,11
2011,132,106,17
2011,120,102,10
2011,105,97,5
2011,160,140,14
2011,122,105,15
2011,120,101,11
2011,124,109,8
2011,136,108,21
2011,142,120,14
2011,128,113,6
2011,140,125,10
2011,127,115,11
2011,126,114,4
2011,134,113,12
2011,134,115,13
2011,136,117,11
2011,142,122,8
2011,132,111,12
2011,143,128,10
2011,130,112,14
2011,134,112,17
2011,111,89,14
2011,102,84,11
2011,135,119,11
2011,131,113,11
2011,107,99,2
2011,130,104,14
2011,114,96,15
2011,141,124,10
2011,116,103,7
2011,125,109,9
2011,135,113,14
2011,118,105,10
2011,125,107,9
2011,125,107,12
2011,104,88,11
2011,112,95,9
2011,128,112,12
2011,139,125,10
2011,122,100,14
2011,115,97,5
2011,107,88,6
2011,128,113,8
2011,93,80,8
2011,121,101,11
2011,114,93,16
2011,125,111,6
2011,126,107,15
2011,118,105,7
2011,110,96,8
2011,128,117,3
2011,123,102,10
2011,126,111,12
2011,107,94,6
2011,122,107,8
2011,114,101,7
2011,133,115,11
2011,119,100,11
2011,124,107,12
2011,113,102,5
2011,129,115,9
2011,151,129,9
2011,112,100,7
2011,111,98,8
2011,106,91,8
2011,103,91,10
2011,125,108,8
2011,118,100,9
2011,125,102,15
2011,113,100,8
2011,120,109,8
2011,134,115,12
2011,151,123,18
2011,108,96,9
2011,136,127,5
2011,125,113,8
2011,105,92,9
2011,110,91,12
2011,117,99,10
2011,115,100,10
2011,131,116,11
2011,110,95,7
2011,118,100,12
2011,116,99,11
2011,98,89,6
2011,122,106,9
2011,132,116,10
2011,132,113,13
2011,121,105,8
2011,116,102,7
2011,107,91,7
2011,111,100,6
2011,105,91,11
2011,104,88,7
2011,102,90,8
2011,103,93,5
2011,98,87,7
2011,110,94,11
2011,102,81,12
2011,96,84,9
2011,87,78,4
2011,108,88,13
2011,107,95,8
2011,105,96,8
2011,122,108,11
2011,110,94,7
2011,94,79,12
2011,101,88,12
2011,92,79,6
2011,115,99,12
2011,107,94,9
2011,119,100,9
2011,103,88,8
2011,107,84,14
2011,130,115,7
2011,118,101,9
2011,113,97,10
2011,97,86,6
2011,112,93,12
2011,101,90,6
2011,120,101,15
2011,113,100,7
2011,103,94,7
2011,110,92,16
2011,93,73,14
2011,103,81,12
2011,103,91,7
2011,114,102,8
2011,117,98,10
2011,98,80,13
2011,103,86,10
2011,108,90,8
