,total_born,Jews_and_others_total_born,Arabs_total_born
2000,0,0,0
2001,0,0,0
2002,139535,98604,40931
2003,144936,103599,41337
2004,145207,104357,40850
2005,143913,105112,38801
2006,148170,109188,38982
2007,151679,112543,39136
2008,156923,117473,39450
2009,161042,121243,39799
2010,166255,125505,40750
2011,166296,126550,39746
2012,170940,130507,40433
2013,171444,132254,39190
2014,176427,136000,40427
2015,178723,137707,41016
2016,181405,139400,42005
2017,183648,139866,43782
2018,184370,141102,43268
2019,182016,138399,43617
2020,0,0,0
2021,0,0,0
